patch_slug,patch_name,source_url,source_kind,item_index,item_type,section_h2,section_h3,section_h4,text
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,1,p,,,,"February 12, 2024"
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,2,p,,,,"Every 2 weeks, a new Legend becomes free-to-play for the rest of the season. Each Legend will have a set of challenges to permanently unlock that Legend. Complete all Breakout Rewards Challenges before the season ends to unlock more rewards like the Reactive “Top Tier” Flatline and the Legendary “Runaway Renegade” Wraith. Check out the full breakdown, including Legends and chase rewards, in our Breakout Rewards blog ."
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,3,h2,BREAKOUT MAP ROTATION,,,BREAKOUT MAP ROTATION
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,5,p,BREAKOUT MAP ROTATION,,,The following maps will be available in Trios and Duos for the season:
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,6,li,BREAKOUT MAP ROTATION,,,Olympus
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,7,li,BREAKOUT MAP ROTATION,,,Storm Point
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,8,li,BREAKOUT MAP ROTATION,,,World’s Edge
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,9,h2,PERFORMANCE MODE: 120Hz,,,PERFORMANCE MODE: 120Hz
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,10,p,PERFORMANCE MODE: 120Hz,,,"On PlayStation 5, Xbox Series S, and Xbox Series X, the Video Settings menu has a new “Performance” mode option that is available to players with 120Hz displays. This option targets 120 FPS performance with content optimizations and reductions to visual quality."
breakout,Breakout,https://www.ea.com/games/apex-legends/apex-legends/news/breakout-patch-notes,patch_notes,11,p,PERFORMANCE MODE: 120Hz,,,"To achieve 120 FPS, current-gen consoles now run on a new multithreaded rendering system, built on top of the Rendering Hardware Interface (RHI). Previously, even with GPU optimizations, the Apex rendering engine has been bottlenecked by single-threaded rendering code, which could not scale to the capabilities of modern hardware. This new system allows us to fully utilize the GPU and forms the foundation for future improvements to the rendering engine."
